Latitude,Longitude,Datetime
29.6260034,-82.341168,1681952591
29.6260949,-82.34123,1681952871
29.6260041,-82.3413169,1681980647
29.6260034,-82.341168,1682002249
29.6260034,-82.341168,1682002791
29.6260034,-82.341168,1682021691
29.6260028,-82.3411691,1682025276
29.6260028,-82.3411691,1682025596
29.6260028,-82.3411691,1682029297
29.6259996,-82.3411772,1682029520
29.6244805,-82.3406975,1682029536
29.6211184,-82.3399823,1682029601
29.6151985,-82.3411637,1682029616
29.6152001,-82.3411003,1682029671
29.6151985,-82.3411637,1682029736
29.6151985,-82.3411637,1682029800
29.6151985,-82.3411637,1682029866
29.6151923,-82.3411616,1682029930
29.6147673,-82.3427508,1682029996
29.6147484,-82.3430716,1682029998
29.6138871,-82.3541224,1682030060
29.6110699,-82.3610291,1682030125
29.6051252,-82.3691547,1682030195
29.6090867,-82.3713973,1682030260
29.609469,-82.3716751,1682030330
29.6080781,-82.3764946,1682030400
29.6138219,-82.3827419,1682030470
29.6184767,-82.3833372,1682030540
29.6184774,-82.3833255,1682030605
29.6218279,-82.3864925,1682030670
29.6218813,-82.3869639,1682030688
29.6250089,-82.387049,1682030755
29.6270532,-82.3863045,1682030820
29.6268741,-82.3861614,1682030875
29.6266143,-82.3864243,1682030886
29.6267997,-82.3863636,1682030960
29.6267004,-82.3865464,1682031092
29.6268355,-82.3864903,1682031265
29.6266719,-82.3862463,1682031417
29.6272657,-82.3863235,1682032203
29.6275405,-82.3855219,1682032327
29.6269461,-82.3861022,1682032572
29.6279476,-82.3830945,1682032609
29.6283002,-82.3834658,1682032729
29.6283167,-82.3832186,1682032922
29.6274686,-82.3825296,1682033244
29.6273931,-82.3825616,1682033687
29.6265075,-82.3840555,1682033986
29.6275197,-82.3834209,1682034114
29.6267462,-82.3859571,1682034131
29.6268129,-82.3865215,1682034303
29.6268272,-82.3864822,1682034440
29.6267767,-82.3858429,1682034560
29.6264708,-82.3854357,1682034630
29.6267462,-82.3859571,1682034682
29.6242034,-82.3830237,1682034700
29.6223003,-82.3815666,1682034752
29.6206917,-82.380347,1682034815
29.6206955,-82.3803498,1682034885
29.621835,-82.3771747,1682034950
29.6218314,-82.3771898,1682035020
29.621816,-82.3771758,1682035086
29.6220282,-82.3769359,1682035160
29.6220643,-82.3769193,1682035181
29.6221327,-82.3770822,1682035197
29.6220586,-82.3770541,1682035377
29.6222258,-82.3772681,1682035401
29.6231737,-82.3764617,1682035467
29.623763,-82.376464,1682035531
29.6256404,-82.3792415,1682035596
29.6277311,-82.3775126,1682035625
29.6274893,-82.3772011,1682035663
29.6273718,-82.3774123,1682035726
29.6277937,-82.3774497,1682035796
29.6278198,-82.3774299,1682035861
29.6278152,-82.3774334,1682035875
29.6278122,-82.3775551,1682036035
29.6278154,-82.3775046,1682036578
29.6275386,-82.3773838,1682043712
29.6271155,-82.3749323,1682043837
29.6267229,-82.3743881,1682043899
29.6275829,-82.3731444,1682043964
29.6266835,-82.3726241,1682044029
29.6217277,-82.3720501,1682044099
29.6197288,-82.3625223,1682044164
29.6197171,-82.3557707,1682044229
29.6137291,-82.3551076,1682044294
29.6146036,-82.3435539,1682044364
29.6147624,-82.3410737,1682044429
29.6219281,-82.3396864,1682044494
29.6266453,-82.3408868,1682044559
29.6261432,-82.3410724,1682044571
29.6260775,-82.3411193,1682044629
29.6260028,-82.3411691,1682044772
29.6260028,-82.3411691,1682053489
29.6260028,-82.3411691,1682053828
29.6261748,-82.3412831,1682058064
29.6260028,-82.3411691,1682058990
29.6259696,-82.3411131,1682059294
29.6259015,-82.3410931,1682062219
29.6260158,-82.3408853,1682064914
29.6259541,-82.3409991,1682065084
29.6260651,-82.3413113,1682077321
29.6259504,-82.3412031,1682080822
29.6259829,-82.3410475,1682082608
29.6260041,-82.3411073,1682083114
29.6258917,-82.3412743,1682083336
29.6261033,-82.3410904,1682083871
29.6260028,-82.3411691,1682084646
29.6260028,-82.3411691,1682085352
29.6260028,-82.3411691,1682085724
29.6259689,-82.34119,1682085927
29.6260028,-82.3411691,1682088772
29.6260028,-82.3411691,1682089098
29.6260747,-82.3411416,1682097775
29.6260028,-82.3411691,1682102713
29.6260028,-82.3411691,1682103040
29.6260028,-82.3411691,1682103410
29.6259694,-82.3410658,1682105377
29.6260028,-82.3411691,1682105774
29.6260028,-82.3411691,1682106109
29.6260028,-82.3411691,1682106720
29.6260028,-82.3411691,1682107020
29.625976,-82.341123,1682108735
29.6260028,-82.3411691,1682109131
29.6260744,-82.3410745,1682109583
29.6255016,-82.3409399,1682109731
29.626002,-82.3411638,1682109745
29.6242296,-82.3396292,1682109779
29.6242378,-82.3395952,1682109844
29.6193909,-82.3401376,1682109909
29.626911,-82.3392701,1682109979
29.6362781,-82.3392837,1682110044
29.6362762,-82.3392895,1682110109
29.6403177,-82.3392937,1682110180
29.643825,-82.3392742,1682110244
29.6444969,-82.3393219,1682110309
29.6448829,-82.3415917,1682110364
29.6465384,-82.3434734,1682110435
29.6497564,-82.3460361,1682110473
29.6495632,-82.3434855,1682110509
29.6497911,-82.3445826,1682110580
29.6486475,-82.3459187,1682110645
29.6496296,-82.3460108,1682110715
29.6497564,-82.3460361,1682110760
29.6498438,-82.3460689,1682111027
29.6496121,-82.3452521,1682111094
29.6492429,-82.3448074,1682111163
29.648729,-82.3445723,1682111219
29.6489236,-82.3438013,1682111293
29.6487319,-82.3438139,1682111359
29.6484047,-82.3438126,1682111429
29.6483577,-82.3441142,1682111497
29.6483875,-82.3437608,1682111567
29.6485676,-82.344736,1682111767
29.6486343,-82.3437961,1682115622
29.6484554,-82.344212,1682115751
29.6484696,-82.3437359,1682125510
29.6493829,-82.3448406,1682125662
29.6487367,-82.344516,1682125900
29.6507267,-82.3462639,1682125917
29.6519463,-82.3462898,1682125987
29.6521562,-82.349464,1682126057
29.6520896,-82.3519853,1682126122
29.6516223,-82.352344,1682126187
29.6504076,-82.3601209,1682126252
29.6469463,-82.3600606,1682126317
29.6434039,-82.3633804,1682126382
29.6384804,-82.3641979,1682126447
29.637645,-82.359553,1682126517
29.6339808,-82.3588748,1682126582
29.6345541,-82.3561496,1682126647
29.6348113,-82.346357,1682126712
29.6363882,-82.3395158,1682126777
29.6297065,-82.3394687,1682126833
29.6267095,-82.3409508,1682126897
29.6261173,-82.341057,1682126907
29.6260386,-82.3411113,1682126962
29.6260233,-82.3411522,1682126997
29.6260029,-82.3411709,1682127448
29.6260029,-82.3411709,1682127714
29.6260029,-82.3411709,1682128245
29.6260029,-82.3411709,1682130516
29.6260029,-82.3411709,1682130851
29.6260029,-82.3411709,1682134545
29.6260029,-82.3411709,1682134924
29.6260029,-82.3411709,1682135576
29.6260029,-82.3411709,1682135902
29.6260029,-82.3411709,1682136240
29.6260029,-82.3411709,1682140639
29.6261675,-82.3411208,1682151808
29.626037,-82.341077,1682160913
29.6259729,-82.3411986,1682164412
29.6259777,-82.3411435,1682166257
29.6260321,-82.3412912,1682194701
29.6260029,-82.3411709,1682199946
29.6260029,-82.3411709,1682209745
29.6261091,-82.3412633,1682219740
29.6260029,-82.3411709,1682243839
29.6260029,-82.3411709,1682249428
29.6260029,-82.3411709,1682257428
29.6260029,-82.3411709,1682261879
29.6260029,-82.3411709,1682279748
29.6260763,-82.3411167,1682281861
29.6260315,-82.3411024,1682282905
29.6254222,-82.3409436,1682283226
29.6260048,-82.3411777,1682283231
29.6248816,-82.3392738,1682283392
29.6255096,-82.339255,1682283397
29.6356541,-82.3392928,1682283462
29.636259,-82.3392853,1682283532
29.6371291,-82.3389864,1682283559
29.6364397,-82.339756,1682283597
29.6364388,-82.3396061,1682283668
29.6372335,-82.3392208,1682283732
29.6370498,-82.3389299,1682283798
29.637235,-82.3390033,1682283867
29.637479,-82.3389939,1682283938
29.6375057,-82.3389926,1682284007
29.6374809,-82.3390168,1682284078
29.6370756,-82.3392944,1682284130
29.6409719,-82.3392298,1682284147
29.6415929,-82.3392648,1682284218
29.6416019,-82.339265,1682284283
29.6416019,-82.339265,1682284348
29.6416005,-82.3392616,1682284418
29.6417247,-82.3392624,1682284488
29.6417509,-82.3392621,1682284558
29.6395868,-82.3422777,1682284633
29.6369176,-82.3500786,1682284688
29.6328926,-82.3606797,1682284752
29.6310316,-82.3646084,1682284818
29.6274575,-82.3719212,1682284887
29.6270251,-82.3725631,1682284958
29.6240327,-82.3766944,1682285023
29.6256957,-82.3792242,1682285093
29.6266853,-82.3820272,1682285133
29.6271826,-82.3847438,1682285203
29.6279259,-82.3870105,1682285210
29.6276838,-82.3865946,1682285268
29.6279299,-82.3870231,1682285338
29.627933,-82.3870154,1682285404
29.6279233,-82.3870061,1682285469
29.6277779,-82.387384,1682285543
29.6278799,-82.3885637,1682285773
29.6273023,-82.3884386,1682285938
29.6267876,-82.3878221,1682286071
29.6270122,-82.3879175,1682286208
29.6275198,-82.3879174,1682286337
29.6273941,-82.3880175,1682286480
29.6279531,-82.3870027,1682286700
29.6279396,-82.3869951,1682286815
29.6279374,-82.3870103,1682287007
29.6276049,-82.3873819,1682287126
29.6251918,-82.3867668,1682287139
29.6236511,-82.3867849,1682287154
29.6210492,-82.3835655,1682287163
29.6210137,-82.3839717,1682287219
29.6204913,-82.3832582,1682287276
29.6211787,-82.3836171,1682287475
29.6206241,-82.3831525,1682288155
29.6205228,-82.3832613,1682288269
29.619747,-82.3839278,1682288343
29.6189838,-82.3836574,1682288404
29.6203596,-82.3836721,1682288448
29.6156298,-82.3831772,1682288474
29.6077534,-82.3776241,1682288544
29.6068693,-82.3714407,1682288614
29.6074577,-82.3657586,1682288679
29.6127133,-82.3576249,1682288744
29.6143028,-82.3483458,1682288824
29.6147631,-82.3410625,1682288889
29.6147759,-82.3407642,1682288955
29.6212054,-82.3398095,1682288993
29.6256157,-82.3407448,1682289060
29.6261462,-82.3410727,1682289076
29.6260189,-82.3410952,1682289125
29.6260102,-82.3411089,1682289155
29.6259623,-82.3410729,1682289441
29.6260029,-82.3411709,1682310369
29.6260029,-82.3411709,1682330446
29.6260029,-82.3411709,1682331502
29.625909,-82.3410545,1682332619
29.62591,-82.3410981,1682333021
29.6259177,-82.3411574,1682333888
29.6258116,-82.3410291,1682334076
29.6259047,-82.3411244,1682334643
29.6258924,-82.3411044,1682334879
29.6259198,-82.3411678,1682335359
29.6259109,-82.3411272,1682335424
29.6258611,-82.3411038,1682335489
29.6259054,-82.3411272,1682335539
29.6249152,-82.3409139,1682335670
29.6259676,-82.3411473,1682335672
29.6249711,-82.3393094,1682335735
29.63501,-82.3392643,1682335805
29.6384784,-82.3392626,1682335874
29.6442178,-82.3392521,1682335940
29.6464886,-82.3392609,1682335987
29.6475539,-82.3392937,1682336055
29.6536116,-82.3392142,1682336119
29.6543002,-82.3392106,1682336195
29.6524481,-82.3393384,1682336255
29.6524473,-82.3393698,1682336325
29.6520411,-82.3377959,1682336370
29.6555933,-82.3308102,1682336551
29.6549351,-82.3350211,1682336615
29.6521249,-82.3354667,1682336676
29.6537455,-82.3391822,1682336690
29.6523778,-82.3376088,1682336746
29.6521274,-82.3387747,1682336811
29.6521278,-82.339017,1682336842
29.6521278,-82.339017,1682336875
29.6539194,-82.3390042,1682336940
29.6530722,-82.3390217,1682337009
29.6530725,-82.3390007,1682337075
29.6532849,-82.3387445,1682337139
29.6534231,-82.3388597,1682337213
29.6534542,-82.3388867,1682337282
29.6532104,-82.3388378,1682337355
29.6534232,-82.3388955,1682337425
29.6534335,-82.3389302,1682337495
29.6534004,-82.3389174,1682337567
29.6533901,-82.3389409,1682337641
29.6531595,-82.3389658,1682337696
29.6530117,-82.3390102,1682337761
29.6534838,-82.3391629,1682337825
29.6530485,-82.3387148,1682337875
29.6535434,-82.3360156,1682337896
29.6520441,-82.333326,1682337960
29.6519885,-82.3268481,1682338031
29.6519477,-82.3232311,1682338095
29.6519233,-82.3202732,1682338114
29.6519792,-82.3123023,1682338136
29.6519346,-82.3134637,1682338180
29.6521893,-82.3127146,1682338212
29.6524894,-82.3128893,1682338584
29.6514612,-82.3148057,1682338646
29.6520777,-82.3133888,1682338651
29.6500182,-82.3117046,1682338711
29.6454513,-82.3116154,1682338776
29.6369793,-82.3149876,1682338846
29.6350355,-82.3177411,1682338911
29.6261841,-82.3244669,1682338976
29.617088,-82.3346561,1682339041
29.6188909,-82.3401324,1682339111
29.6259183,-82.3407926,1682339181
29.6260637,-82.3410626,1682339238
29.6264277,-82.3411222,1682339246
29.6259537,-82.3411118,1682339307
29.6258781,-82.3411355,1682339449
29.6260012,-82.3411377,1682339606
29.6259472,-82.3411581,1682340667
29.6260382,-82.3411944,1682354165
29.6260041,-82.3411711,1682372893
29.6260041,-82.3411711,1682373357
29.6259056,-82.341124,1682374519
29.6246558,-82.3408783,1682374701
29.6259893,-82.3411682,1682374836
29.625493,-82.3397493,1682374857
29.6254747,-82.339858,1682374952
29.6255164,-82.3399159,1682375168
29.625527,-82.3399054,1682375293
29.6255191,-82.3398778,1682376198
29.6258266,-82.3411146,1682377949
29.6258945,-82.3411362,1682378524
29.6242461,-82.3396966,1682378858
29.6255031,-82.340045,1682378900
29.6363965,-82.338192,1682379007
29.6429387,-82.3309628,1682379135
29.6517712,-82.3308029,1682379277
29.6589812,-82.3258866,1682379430
29.6590094,-82.3251332,1682379637
29.6610074,-82.324404,1682379765
29.6638166,-82.3253667,1682379990
29.6637108,-82.3253863,1682379995
29.6639615,-82.3254365,1682380355
29.6639524,-82.3254276,1682380622
29.66368,-82.3250399,1682381585
29.6636984,-82.3250355,1682381649
29.6637096,-82.3250485,1682381714
29.6637454,-82.3250329,1682381784
29.6634721,-82.324835,1682381854
29.6637175,-82.3251545,1682381886
29.6594231,-82.3249271,1682381919
29.6551626,-82.3250633,1682381989
29.6504065,-82.3250499,1682382059
29.6433616,-82.3254841,1682382130
29.6364695,-82.3273147,1682382194
29.6365305,-82.3317624,1682382260
29.6364753,-82.3389885,1682382329
29.6306974,-82.3394816,1682382394
29.6287109,-82.3397878,1682382418
29.6260808,-82.3410456,1682382478
29.6259988,-82.3411891,1682382479
29.6259179,-82.3411155,1682382549
29.6259147,-82.3410899,1682382557
29.6260377,-82.341097,1682385596
29.626004,-82.341172,1682402726
29.6260135,-82.3411313,1682416398
29.626076,-82.3410688,1682420417
29.626004,-82.341172,1682422451
29.626004,-82.341172,1682434382
29.626004,-82.341172,1682452137
29.6256984,-82.3408335,1682454681
29.626004,-82.341172,1682482087
29.626004,-82.341172,1682507332
29.6259646,-82.3411709,1682509181
29.6258081,-82.3412774,1682512630
29.6260485,-82.3412626,1682512762
29.626004,-82.341172,1682520154
29.6260654,-82.3411301,1682531765
29.6259938,-82.3412208,1682542370
29.626004,-82.341172,1682564841
29.626004,-82.341172,1682576402
29.6260062,-82.3410214,1682625123
29.6261053,-82.3411735,1682625294
29.6259173,-82.3410526,1682627770
29.6252614,-82.3409223,1682627856
29.6259988,-82.3411891,1682627861
29.624235,-82.3396887,1682627924
29.6197896,-82.3401417,1682627989
29.6153155,-82.3408413,1682628054
29.6140616,-82.3528612,1682628130
29.6120219,-82.359342,1682628194
29.6076529,-82.3656522,1682628259
29.6073459,-82.3660455,1682628324
29.6057479,-82.3682634,1682628353
29.60524,-82.3689884,1682628414
29.6056665,-82.3720553,1682628476
29.6061527,-82.3711895,1682628479
29.6057854,-82.3720409,1682628549
29.6056338,-82.3724675,1682628593
29.6055646,-82.3717943,1682628730
29.6055763,-82.3718047,1682628964
29.6055727,-82.3724881,1682629401
29.6055036,-82.3718553,1682629543
29.6056223,-82.3720716,1682629636
29.6072216,-82.3661653,1682629767
29.6260005,-82.3411786,1682630276
29.6259168,-82.3412806,1682630672
29.6261371,-82.3410966,1682642587
29.6260039,-82.3411716,1682651217
29.6260176,-82.3412974,1682651434
29.6260039,-82.3411716,1682672263
29.6260176,-82.3412974,1682672481
29.6260153,-82.3411157,1682672483
29.6259324,-82.3414603,1682674464
29.6258829,-82.3410283,1682722937
29.6260005,-82.3411786,1682723009
29.6242098,-82.3395712,1682723114
29.6266861,-82.3393126,1682723191
29.6356367,-82.3393023,1682723256
29.6359941,-82.3392974,1682723321
29.6414543,-82.3392645,1682723391
29.6417536,-82.3392589,1682723456
29.6452606,-82.3392779,1682723489
29.6502423,-82.3392992,1682723556
29.6545374,-82.3393003,1682723558
29.6538107,-82.3392145,1682723625
29.6538206,-82.3392143,1682723691
29.6541691,-82.3417927,1682723761
29.6556991,-82.3394826,1682723826
29.6540747,-82.3392407,1682723896
29.6539038,-82.3382772,1682723966
29.6533477,-82.3382869,1682723992
29.6534079,-82.3388832,1682724654
29.6530225,-82.3390486,1682725247
29.6532736,-82.3391073,1682725333
29.6555533,-82.3391637,1682725380
29.6606964,-82.3390921,1682725428
29.6603176,-82.338105,1682725493
29.6548737,-82.3393196,1682725558
29.6523259,-82.33936,1682725623
29.6463938,-82.3393821,1682725693
29.6429303,-82.3394001,1682725758
29.6373926,-82.3394113,1682725828
29.6363543,-82.3394877,1682725893
29.6297068,-82.3394868,1682725944
29.6268153,-82.3409745,1682726008
29.6261485,-82.3410883,1682726021
29.6260061,-82.3411797,1682726022
29.625986,-82.3410403,1682726045
29.6260032,-82.3411737,1682731058
29.6260677,-82.3411557,1682750528
29.6259475,-82.3411481,1682752811
29.6260656,-82.3412029,1682762173
29.6260161,-82.3411002,1682762432
29.6260032,-82.3411737,1682762898
29.6260138,-82.3410828,1682778623
29.6262732,-82.3412195,1682779550
29.6259875,-82.3411136,1682780518
29.6260023,-82.341095,1682784038
29.6260635,-82.3412023,1682790136
29.6260032,-82.3411737,1682798008
29.6260032,-82.3411737,1682803262
29.6260032,-82.3411737,1682814743
29.6260032,-82.3411737,1682827522
29.6260003,-82.3412531,1682868093
29.6260034,-82.3411743,1682885496
29.6260706,-82.3409854,1682886635
29.6260759,-82.340967,1682888929
29.6260034,-82.3411743,1682896608
29.6260034,-82.3411743,1682908832
29.6260034,-82.3411743,1682915647
